(title "Velocity Magnitude")
(labels "Position" "Velocity Magnitude")

((xy/key/label "x50_y_profile")
0	0
0.000912277	0.00894616
0.01	0.0979419
0.0110947	0.100755
0.022	0.128667
0.0233137	0.130334
0.0364	0.146865
0.0379764	0.147979
0.05368	0.159017
0.0555717	0.159821
0.074416	0.167874
0.076686	0.168477
0.0992992	0.174727
0.102023	0.175177
0.129159	0.180122
0.132428	0.180444
0.164991	0.18419
0.168913	0.184412
0.207989	0.187036
0.212696	0.187444
0.259587	0.190999
0.356522	0.18852
0.762535	0.178751
1.42609	0.162784
1.46337	0.162093
1.50543	0.159859
2.07034	0.128194
2.45555	0.10844
2.73756	0.0982177
2.91388	0.0918264
3.34992	0.0722906
3.46971	0.0669237
4.37516	0.0413508
5.00086	0.0333507
6.08589	0.0175395
6.78661	0.0142433
7.40902	0.0122373
9.23525	0.00635128
9.32526	0.00609678
9.5024	0.00559593
9.71827	0.0054981
10.3377	0.00521696
11.9965	0.00447139
13.4838	0.00393684
15.2752	0.0035795
17.8667	0.00304508
18.0245	0.00300961
18.5654	0.00288806
18.7304	0.00286895
19.2099	0.00281336
21.9248	0.00251649
22.125	0.00249499
22.2058	0.00248931
22.5367	0.00246605
24.0281	0.00234876
24.3161	0.00232611
26.3058	0.00216476
27.401	0.00210643
28.7241	0.00203379
31.1522	0.00191205
33.3467	0.00182932
33.5416	0.00182236
34.131	0.0018013
34.1564	0.00180047
34.2581	0.00179713
34.4779	0.00178983
35.0213	0.0017728
36.0254	0.00174237
38.2978	0.00167084
39.2559	0.00164068
40.4087	0.00161254
40.6071	0.00160769
43.3365	0.00154241
43.6437	0.0015357
43.7553	0.00153327
44.0029	0.00152913
44.4543	0.0015203
48.1062	0.0014489
48.1707	0.00144753
48.2254	0.00144673
48.2978	0.00144558
49.5102	0.0014263
49.6427	0.00142445
50.468	0.00141296
50.9941	0.00140513
51.7261	0.00139424
52.2487	0.0013873
53.1758	0.00137465
53.9747	0.00136375
55.4476	0.00134291
57.5271	0.00131547
58.0475	0.00130868
60.8721	0.00127614
61.5909	0.00126835
61.6304	0.00126792
63.2223	0.00125211
63.2223	0.00125211
64.7913	0.00123612
65.0406	0.00123392
65.7477	0.00122828
66.7615	0.00122019
68.712	0.00120554
68.9426	0.00120393
70.3094	0.00119434
72.1249	0.0011809
72.821	0.0011758
73.1156	0.00117364
74.3326	0.00116585
74.3391	0.00116581
76.2294	0.0011523
76.314	0.00115169
76.6988	0.00114903
78.9623	0.00113423
80.8711	0.00112382
81.3661	0.00112167
81.5385	0.00112092
83.3939	0.00111297
83.4488	0.00111273
83.6483	0.00111186
86.7545	0.00109971
86.8407	0.00109937
88.6001	0.00109217
89.8164	0.00108691
90.1133	0.00108587
90.2956	0.00108523
92.7337	0.00107609
93.6957	0.00107258
94.6241	0.00106998
95.1826	0.00106804
95.3235	0.00106771
95.6664	0.0010669
97.3385	0.00106303
98.7163	0.00105927
101.416	0.00105385
101.528	0.00105363
103.01	0.00104885
106.105	0.00104228
106.11	0.00104227
107.429	0.00103869
107.469	0.00103858
107.645	0.00103825
109.628	0.00103338
109.665	0.00103329
110.052	0.00103251
111.248	0.00102965
111.829	0.00102827
112.812	0.00102505
113.229	0.00102369
116.06	0.00101779
116.372	0.00101711
116.42	0.00101704
117.047	0.00101601
117.188	0.00101575
117.362	0.00101543
117.719	0.00101489
118.241	0.00101436
119.459	0.00101245
121.505	0.00100957
121.561	0.00100949
121.899	0.00100901
122.425	0.00100829
123.315	0.00100712
124.342	0.00100557
125.966	0.00100364
126.335	0.00100326
127.421	0.00100215
127.946	0.0010016
128.31	0.00100117
131.947	0.000995962
132.297	0.000995357
133.205	0.000993709
133.528	0.000993123
133.981	0.000992703
134.304	0.000992404
135.671	0.000991614
136.449	0.000991184
139.01	0.00098796
140.206	0.000986407
140.755	0.00098572
140.836	0.000985633
140.849	0.00098562
140.933	0.000985535
141.766	0.000984833
142.232	0.000984459
144.952	0.000982272
146.019	0.000981566
146.126	0.000981439
147.707	0.000979535
147.894	0.000979477
148.007	0.000979442
148.617	0.00097885
151.388	0.000977068
151.967	0.000976695
152.554	0.000976322
153.479	0.000975792
156.637	0.000973972
157.721	0.000973421
157.751	0.000973411
158.103	0.000973322
158.978	0.000972785
161.177	0.000971245
161.836	0.000970783
161.948	0.00097071
162.745	0.000970127
163.168	0.000969858
163.175	0.000969853
164.179	0.000970037
164.281	0.000970055
166.248	0.000969267
166.478	0.000969175
167.75	0.000968459
168.567	0.000968272
168.744	0.000968195
169.196	0.00096821
169.434	0.000968218
170.884	0.000968258
171.79	0.000968169
172.555	0.000968094
173.089	0.00096801
173.223	0.000967989
174.783	0.000968258
176.204	0.000968356
176.368	0.000968367
176.827	0.000968417
176.935	0.000968422
177.083	0.000968427
178.909	0.000968856
180	0.000968768
180.585	0.000968721
184.782	0.000967928
184.791	0.000967927
184.798	0.000967924
185.14	0.000967723
185.278	0.000967701
185.329	0.00096769
185.836	0.000967576
188.408	0.000967318
188.671	0.000967292
190.391	0.000968123
192.65	0.000969242
194.377	0.00097061
195.485	0.000971052
195.985	0.000971172
196.905	0.000971393
197.777	0.000971751
197.807	0.000971766
197.856	0.000971783
200	0.000972218
)
